A,W,MT,ID
128,32,500,2
128,32,583,2
128,32,467,2
128,32,466,2
128,64,451,2
128,64,433,2
128,64,450,2
128,64,417,2
512,32,616,4
512,32,617,4
512,32,583,4
512,32,667,4
512,16,983,5
512,16,634,5
512,16,717,5
512,16,967,5
256,32,667,3
256,32,549,3
256,32,583,3
256,32,616,3
256,16,666,4
256,16,700,4
256,16,667,4
256,16,835,4
256,64,500,2
256,64,500,2
256,64,500,2
256,64,466,2
128,16,617,3
128,16,550,3
128,16,717,3
128,16,667,3
512,64,650,3
512,64,501,3
512,64,599,3
512,64,500,3
